Timestamp,Domain,Original_URL,Risk_Score,Verdict,Matched_Keywords,Features
2026-07-07 20:18:58,facebook.com,https://facebook.com/login,0,SAFE 🟢,None,"{""length"": 8, ""entropy"": 2.75, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-07 20:19:20,paypal-verify-alert.com,https://paypal-verify-alert.com,100,HIGH RISK 🔴,"paypal,verify","{""length"": 19, ""entropy"": 3.3660913291191923, ""num_digits"": 0, ""num_hyphens"": 2, ""has_sus_keyword"": 1}"
2026-07-09 19:54:23,localhost,http://localhost:5173/,0,SAFE 🟢,None,"{""length"": 9, ""entropy"": 2.725480556997868, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-09 19:55:01,gemini.google.com,https://gemini.google.com/app/3952468379372f45,22,SAFE 🟢,None,"{""length"": 13, ""entropy"": 2.873140679513133, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-09 19:55:38,gemini.google.com,https://gemini.google.com/app,22,SAFE 🟢,None,"{""length"": 13, ""entropy"": 2.873140679513133, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-09 19:57:05,www.barracuda.com,https://www.barracuda.com/products/email-protection/integrated-email-protection?utm_source=microsoft&utm_medium=cpc&utm_campaign=B%3ADG%7CTH%3AAMER%7CR%3A%7CPS%3AEP%7CP%3A%7CPL%3AM%7CC%3AS%7CTY%3AP%7CICP%3A%7CL%3AEN%7CA%3A%7CN%3ACore_Phrase%7C&utm_campaignid=487359306&utm_adgroup_name=B%3ADG%7CTH%3AAMER%7CR%3A%7CPS%3AEP%7CP%3A%7CPL%3AG%7CC%3AS%7CTY%3AP%7CICP%3A%7CL%3AEN%7CA%3A%7CN%3ACore_Phrase%7CT%3APhishing%20-%20General%20(Sentinel)&utm_adgroup=1238051421224156&utm_term=phishing&utm_matchtype=p&utm_device=c&utm_content=77378370359478&utm_network=o&msclkid=33aabdd72bc81d47a97ad7988450b890&msclkid=33aabdd72bc81d47a97ad7988450b890&utm_source=bing&utm_medium=cpc&utm_campaign=B%3ADG%7CTH%3AAMER%7CR%3A%7CPS%3AEP%7CP%3A%7CPL%3AM%7CC%3AS%7CTY%3AP%7CICP%3A%7CL%3AEN%7CA%3A%7CN%3ACore_Phrase%7C&utm_term=phishing&utm_content=B%3ADG%7CTH%3AAMER%7CR%3A%7CPS%3AEP%7CP%3A%7CPL%3AG%7CC%3AS%7CTY%3AP%7CICP%3A%7CL%3AEN%7CA%3A%7CN%3ACore_Phrase%7CT%3APhishing%20-%20General%20(Sentinel),0,SAFE 🟢,None,"{""length"": 9, ""entropy"": 2.4193819456463714, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-10 13:29:00,gemini.google.com,https://gemini.google.com/app,22,SAFE 🟢,None,"{""length"": 13, ""entropy"": 2.873140679513133, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-10 19:34:56,gemini.google.com,https://gemini.google.com/app/7b32b03dfb013c93,22,SAFE 🟢,None,"{""length"": 13, ""entropy"": 2.873140679513133, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-10 19:42:41,gemini.google.com,https://gemini.google.com,22,SAFE 🟢,None,"{""length"": 13, ""entropy"": 2.873140679513133, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-10 19:42:56,translate.google.com,https://translate.google.com/,54,MEDIUM RISK 🟡,None,"{""length"": 16, ""entropy"": 3.25, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-10 19:43:07,translate.google.com,https://translate.google.com,54,MEDIUM RISK 🟡,None,"{""length"": 16, ""entropy"": 3.25, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-10 19:43:25,mail.google.com,https://mail.google.com/mail/u/0/,22,SAFE 🟢,None,"{""length"": 11, ""entropy"": 2.9139770731827523, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-10 19:43:36,mail.google.com,https://mail.google.com,22,SAFE 🟢,None,"{""length"": 11, ""entropy"": 2.9139770731827523, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-10 19:44:47,www.fiverr.com,https://www.fiverr.com/users/hasindu_hq/seller_dashboard,0,SAFE 🟢,None,"{""length"": 6, ""entropy"": 2.2516291673878226, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-10 19:44:54,www.fiverr.com,https://www.fiverr.com,0,SAFE 🟢,None,"{""length"": 6, ""entropy"": 2.2516291673878226, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-10 19:47:35,www.fiverr.com,https://www.fiverr.com,0,SAFE 🟢,None,"{""length"": 6, ""entropy"": 2.2516291673878226, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
2026-07-10 19:59:39,www.fiverr.com,https://www.fiverr.com/users/hasindu_hq/seller_dashboard,0,SAFE 🟢,None,"{""length"": 6, ""entropy"": 2.2516291673878226, ""num_digits"": 0, ""num_hyphens"": 0, ""has_sus_keyword"": 0}"
